,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 0-1 (Start),Totals,[ARB_FRONT],[ARB_REAR],[DAMP_BUMP_HF],[DAMP_BUMP_HR],[DAMP_BUMP_LF],[DAMP_BUMP_LR],[DAMP_BUMP_RF],[DAMP_BUMP_RR],[DAMP_FAST_BUMP_HF],[DAMP_FAST_BUMP_HR],[DAMP_FAST_BUMP_LF],[DAMP_FAST_BUMP_LR],[DAMP_FAST_BUMP_RF],[DAMP_FAST_BUMP_RR],[DAMP_FAST_REBOUND_HF],[DAMP_FAST_REBOUND_HR],[DAMP_FAST_REBOUND_LF],[DAMP_FAST_REBOUND_LR],[DAMP_FAST_REBOUND_RF],[DAMP_FAST_REBOUND_RR],[DAMP_REBOUND_HF],[DAMP_REBOUND_HR],[DAMP_REBOUND_LF],[DAMP_REBOUND_LR],[DAMP_REBOUND_RF],[DAMP_REBOUND_RR],[DIFF_COAST],[DIFF_POWER],[DIFF_PRELOAD],[WING_1],[WING_2]
4,4.985,3.375,3.831,1.732,1.372,3.314,5.574,1.312,1.008,1.16,1.127,3.622,2.081,2.537,1.856,2.479,2.556,3.198,8.363,0.77,1.526,1.734,4.73,2.123,1.531,3.016,3.436,74.351,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
5,4.932,3.416,3.884,1.788,1.374,3.269,5.513,1.311,1.007,1.16,1.123,3.588,2.073,2.543,1.874,2.559,2.545,3.233,8.409,0.779,1.456,1.702,4.742,2.134,1.559,3.04,3.447,74.459,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
6,4.982,3.42,3.81,1.761,1.465,3.225,5.47,1.308,1.004,1.157,1.145,3.622,2.073,2.533,1.916,2.479,2.52,3.263,8.378,0.779,1.463,1.72,4.643,2.141,1.575,3.043,3.44,74.333,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
7,4.921,3.391,3.928,1.725,1.363,3.363,5.491,1.309,1.004,1.155,1.125,3.626,2.058,2.543,1.889,2.524,2.553,3.243,8.316,0.737,1.526,1.757,4.809,2.124,1.582,3.051,3.443,74.558,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
0,4.949,3.437,3.858,1.755,1.411,3.322,5.521,1.322,1.017,1.172,1.12,3.536,2.061,2.5,1.856,2.529,2.529,3.261,8.524,0.752,1.507,1.664,4.734,2.078,1.559,3.043,3.473,74.492,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
1,4.964,3.501,3.814,1.756,1.441,3.352,5.503,1.318,1.015,1.172,1.132,3.635,2.077,2.515,1.916,2.523,2.561,3.217,8.472,0.762,1.559,1.622,4.669,2.171,1.573,3.054,3.474,74.77,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
2,4.894,3.475,3.82,1.726,1.385,3.302,5.511,1.317,1.014,1.168,1.117,3.576,2.111,2.612,1.899,2.536,2.554,3.325,8.505,0.817,1.461,1.709,4.614,2.117,1.547,3.033,3.462,74.607,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
3,4.95,3.471,3.793,1.687,1.379,3.382,5.442,1.317,1.015,1.17,1.114,3.525,2.058,2.62,1.874,2.577,2.506,3.348,8.456,0.771,1.525,1.732,4.687,2.101,1.547,3.032,3.464,74.546,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
4,4.962,3.43,3.775,1.721,1.402,3.342,5.428,1.314,1.012,1.167,1.121,3.517,2.074,2.536,1.919,2.529,2.567,3.266,8.387,0.765,1.571,1.748,4.563,2.163,1.56,3.04,3.46,74.343,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
5,4.919,3.434,3.79,1.843,1.448,3.381,5.43,1.315,1.011,1.167,1.129,3.535,2.059,2.544,1.925,2.445,2.581,3.318,8.501,0.761,1.586,1.677,4.663,2.083,1.525,3.016,3.46,74.546,30.0,2.0,20.0,20.0,20.0,19.0,20.0,19.0,8.0,6.0,14.0,6.0,15.0,6.0,15.0,15.0,12.0,8.0,12.0,8.0,17.0,17.0,19.0,18.0,19.0,18.0,30.0,20.0,14.0,25.0,22.0
0,5.076,3.603,3.922,1.792,1.513,3.353,5.441,1.318,1.015,1.17,1.13,3.567,2.07,2.497,1.856,2.621,2.581,3.282,8.496,0.801,1.473,1.72,4.655,2.129,1.554,3.042,3.466,75.14,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
1,4.985,3.48,3.81,1.741,1.451,3.363,5.498,1.314,1.013,1.168,1.141,3.553,2.057,2.543,1.951,2.492,2.58,3.253,8.435,0.751,1.451,1.703,4.669,2.118,1.541,3.024,3.448,74.531,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
2,4.928,3.476,3.827,1.73,1.411,3.338,5.512,1.318,1.015,1.17,1.123,3.514,2.039,2.513,1.88,2.496,2.565,3.2,8.56,0.783,1.477,1.656,4.625,2.127,1.573,3.055,3.463,74.374,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
3,5.022,3.466,3.795,1.805,1.478,3.278,5.421,1.315,1.014,1.173,1.124,3.541,2.048,2.506,1.888,2.564,2.516,3.191,8.613,0.782,1.485,1.75,4.612,2.11,1.55,3.039,3.462,74.548,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
4,4.982,3.428,4.019,1.736,1.414,3.291,5.53,1.33,1.021,1.175,1.126,3.55,2.092,2.557,1.905,2.438,2.627,3.195,8.448,0.751,1.428,1.797,4.68,2.127,1.551,3.043,3.472,74.714,30.0,2.0,8.0,8.0,12.0,13.0,12.0,13.0,7.0,7.0,13.0,6.0,13.0,6.0,18.0,18.0,14.0,9.0,14.0,9.0,16.0,16.0,13.0,13.0,13.0,13.0,30.0,20.0,14.0,24.0,22.0
0,4.974,3.484,3.934,1.795,1.475,3.32,5.495,1.315,1.012,1.169,1.137,3.545,2.061,2.488,1.884,2.596,2.599,3.208,8.448,0.748,1.506,1.74,4.635,2.141,1.588,3.068,3.473,74.839,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
1,5.01,3.444,3.86,1.731,1.444,3.247,5.531,1.318,1.015,1.169,1.125,3.515,2.062,2.441,1.929,2.541,2.585,3.233,8.452,0.738,1.476,1.721,4.599,2.094,1.574,3.051,3.469,74.374,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
0,4.98,3.488,3.862,1.786,1.419,3.389,5.46,1.309,1.007,1.164,1.112,3.605,2.077,2.534,1.861,2.577,2.589,3.236,8.526,0.794,1.462,1.685,4.703,2.122,1.554,3.028,3.447,74.776,28.0,2.0,19.0,19.0,17.0,18.0,17.0,18.0,10.0,7.0,15.0,6.0,15.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,13.0,13.0,17.0,15.0,17.0,15.0,40.0,30.0,12.0,23.0,20.0
1,4.898,3.57,3.874,1.72,1.38,3.333,5.5,1.31,1.009,1.163,1.116,3.611,2.071,2.543,1.888,2.542,2.631,3.291,8.538,0.794,1.48,1.677,4.627,2.074,1.632,3.108,3.46,74.84,28.0,2.0,19.0,19.0,17.0,18.0,17.0,18.0,10.0,7.0,15.0,6.0,15.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,13.0,13.0,17.0,15.0,17.0,15.0,40.0,30.0,12.0,23.0,20.0
2,4.955,3.42,3.805,1.715,1.408,3.37,5.444,1.31,1.008,1.161,1.127,3.595,2.065,2.557,1.922,2.501,2.495,3.276,8.38,0.813,1.518,1.741,4.681,2.137,1.547,3.024,3.439,74.415,28.0,2.0,19.0,19.0,17.0,18.0,17.0,18.0,10.0,7.0,15.0,6.0,15.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,13.0,13.0,17.0,15.0,17.0,15.0,40.0,30.0,12.0,23.0,20.0
0,5.01,3.466,3.871,1.768,1.487,3.244,5.415,1.305,1.002,1.155,1.113,3.61,2.085,2.509,1.979,2.481,2.613,3.227,8.573,0.789,1.53,1.723,4.666,2.08,1.543,3.022,3.429,74.694,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
1,5.046,3.404,3.819,1.761,1.427,3.268,5.437,1.309,1.005,1.156,1.129,3.564,2.038,2.576,1.943,2.482,2.724,3.25,8.422,0.751,1.383,1.836,4.778,2.123,1.563,3.047,3.456,74.697,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
2,5.025,3.369,3.931,1.802,1.377,3.257,5.496,1.308,1.005,1.157,1.118,3.556,2.053,2.605,1.954,2.495,2.581,3.268,8.743,0.739,1.458,1.781,4.701,2.073,1.539,3.024,3.44,74.852,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
3,5.046,3.411,3.897,1.746,1.397,3.245,5.505,1.312,1.007,1.159,1.134,3.547,2.043,2.607,1.936,2.522,2.636,3.258,8.488,0.726,1.382,1.788,4.782,2.089,1.542,3.018,3.44,74.662,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
0,5.003,3.43,3.822,1.726,1.503,3.307,5.557,1.331,1.027,1.186,1.142,3.605,2.069,2.564,1.945,2.546,2.532,3.205,8.586,0.761,1.435,1.751,4.662,2.114,1.547,3.049,3.498,74.903,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
1,5.015,3.482,3.83,1.709,1.471,3.307,5.479,1.324,1.021,1.179,1.134,3.591,2.074,2.59,2.04,2.556,2.562,3.268,8.459,0.779,1.614,1.694,4.622,2.129,1.542,3.043,3.493,75.008,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
2,5.036,3.43,3.835,1.753,1.435,3.343,5.572,1.333,1.026,1.185,1.134,3.56,2.065,2.513,1.932,2.548,2.484,3.265,8.534,0.754,1.479,1.77,4.713,2.12,1.557,3.058,3.508,74.945,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
3,5.036,3.452,3.871,1.709,1.448,3.335,5.53,1.327,1.024,1.182,1.143,3.611,2.045,2.519,1.922,2.48,2.552,3.255,8.844,0.713,1.568,1.725,4.637,2.095,1.559,3.058,3.494,75.134,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
4,5.05,3.427,3.86,1.719,1.368,3.368,5.567,1.338,1.029,1.188,1.135,3.609,2.07,2.494,1.917,2.494,2.512,3.253,8.574,0.743,1.473,1.716,5.089,2.102,1.56,3.067,3.511,75.238,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
5,5.021,3.446,3.868,1.769,1.476,3.332,5.536,1.33,1.028,1.187,1.147,3.572,2.087,2.506,2.032,2.469,2.666,3.249,8.518,0.756,1.52,1.725,4.642,2.159,1.581,3.075,3.504,75.201,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
6,5.045,3.455,3.857,1.713,1.458,3.242,5.532,1.333,1.029,1.189,1.137,3.567,2.048,2.489,1.878,2.602,2.552,3.264,8.52,0.754,1.425,1.82,4.707,2.086,1.548,3.049,3.505,74.803,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
7,5.016,3.431,3.828,1.697,1.5,3.356,5.503,1.33,1.027,1.186,1.134,3.567,2.06,2.502,1.909,2.564,2.488,3.213,8.465,0.732,1.468,1.809,4.788,2.141,1.567,3.065,3.503,74.849,28.0,2.0,19.0,19.0,16.0,16.0,16.0,16.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,18.0,14.0,18.0,14.0,30.0,20.0,14.0,25.0,26.0
